,ko,ec
0,ko:K00001,ec:1.1.1.1
1,ko:K00002,ec:1.1.1.2
2,ko:K00003,ec:1.1.1.3
3,ko:K00004,ec:1.1.1.4
4,ko:K00004,ec:1.1.1.303
5,ko:K00005,ec:1.1.1.6
6,ko:K00006,ec:1.1.1.8
7,ko:K00007,ec:1.1.1.11
8,ko:K00008,ec:1.1.1.14
9,ko:K00009,ec:1.1.1.17
10,ko:K00010,ec:1.1.1.18
11,ko:K00010,ec:1.1.1.369
12,ko:K00011,ec:1.1.1.21
13,ko:K00012,ec:1.1.1.22
14,ko:K00013,ec:1.1.1.23
15,ko:K00014,ec:1.1.1.25
16,ko:K00015,ec:1.1.1.26
17,ko:K00016,ec:1.1.1.27
18,ko:K00018,ec:1.1.1.29
19,ko:K00019,ec:1.1.1.30
20,ko:K00020,ec:1.1.1.31
21,ko:K00021,ec:1.1.1.34
22,ko:K00022,ec:1.1.1.35
23,ko:K00023,ec:1.1.1.36
24,ko:K00024,ec:1.1.1.37
25,ko:K00025,ec:1.1.1.37
26,ko:K00026,ec:1.1.1.37
27,ko:K00027,ec:1.1.1.38
28,ko:K00028,ec:1.1.1.39
29,ko:K00029,ec:1.1.1.40
30,ko:K00030,ec:1.1.1.41
31,ko:K00031,ec:1.1.1.42
32,ko:K00032,ec:1.1.1.43
33,ko:K00033,ec:1.1.1.44
34,ko:K00033,ec:1.1.1.343
35,ko:K00034,ec:1.1.1.47
36,ko:K00035,ec:1.1.1.48
37,ko:K00036,ec:1.1.1.49
38,ko:K00036,ec:1.1.1.363
39,ko:K00037,ec:1.1.1.50
40,ko:K00037,ec:1.1.1.357
41,ko:K00037,ec:1.1.1.225
42,ko:K00038,ec:1.1.1.53
43,ko:K00039,ec:1.1.1.56
44,ko:K00040,ec:1.1.1.57
45,ko:K00041,ec:1.1.1.58
46,ko:K00042,ec:1.1.1.60
47,ko:K00043,ec:1.1.1.61
48,ko:K00044,ec:1.1.1.62
49,ko:K00045,ec:1.1.1.67
50,ko:K00046,ec:1.1.1.69
51,ko:K00048,ec:1.1.1.77
52,ko:K00049,ec:1.1.1.79
53,ko:K00049,ec:1.1.1.81
54,ko:K00051,ec:1.1.1.82
55,ko:K00052,ec:1.1.1.85
56,ko:K00053,ec:1.1.1.86
57,ko:K00054,ec:1.1.1.88
58,ko:K00055,ec:1.1.1.90
59,ko:K00057,ec:1.1.1.94
60,ko:K00058,ec:1.1.1.95
61,ko:K00058,ec:1.1.1.399
62,ko:K00059,ec:1.1.1.100
63,ko:K00060,ec:1.1.1.103
64,ko:K00061,ec:1.1.1.315
65,ko:K00062,ec:1.1.1.116
66,ko:K00063,ec:1.1.1.117
67,ko:K00064,ec:1.1.1.122
68,ko:K00065,ec:1.1.1.127
69,ko:K00066,ec:1.1.1.132
70,ko:K00067,ec:1.1.1.133
71,ko:K00068,ec:1.1.1.140
72,ko:K00069,ec:1.1.1.141
73,ko:K00070,ec:1.1.1.145
74,ko:K00070,ec:5.3.3.1
75,ko:K00072,ec:1.1.1.153
76,ko:K00073,ec:1.1.1.350
77,ko:K00074,ec:1.1.1.157
78,ko:K00075,ec:1.3.1.98
79,ko:K00076,ec:1.1.1.159
80,ko:K00077,ec:1.1.1.169
81,ko:K00078,ec:1.3.1.20
82,ko:K00078,ec:1.1.1.179
83,ko:K00079,ec:1.1.1.184
84,ko:K00079,ec:1.1.1.189
85,ko:K00079,ec:1.1.1.197
86,ko:K00081,ec:1.1.1.184
87,ko:K00082,ec:1.1.1.193
88,ko:K00083,ec:1.1.1.195
89,ko:K00084,ec:1.1.1.184
90,ko:K00085,ec:1.1.1.200
91,ko:K00086,ec:1.1.1.202
92,ko:K00087,ec:1.17.1.4
93,ko:K00088,ec:1.1.1.205
94,ko:K00089,ec:1.1.1.213
95,ko:K00089,ec:1.1.1.357
96,ko:K00090,ec:1.1.1.79
97,ko:K00090,ec:1.1.1.81
98,ko:K00090,ec:1.1.1.215
99,ko:K00091,ec:1.1.1.219
100,ko:K00093,ec:1.1.1.244
101,ko:K00094,ec:1.1.1.251
102,ko:K00095,ec:1.1.1.255
103,ko:K00096,ec:1.1.1.261
104,ko:K00097,ec:1.1.1.262
105,ko:K00098,ec:1.1.1.264
106,ko:K00099,ec:1.1.1.267
107,ko:K00101,ec:1.1.2.3
108,ko:K00102,ec:1.1.2.4
109,ko:K00103,ec:1.1.3.8
110,ko:K00104,ec:1.1.99.14
111,ko:K00105,ec:1.1.3.21
112,ko:K00106,ec:1.17.1.4
113,ko:K00106,ec:1.17.3.2
114,ko:K00107,ec:1.1.3.37
115,ko:K00108,ec:1.1.99.1
116,ko:K00109,ec:1.1.99.2
117,ko:K00111,ec:1.1.5.3
118,ko:K00112,ec:1.1.5.3
119,ko:K00114,ec:1.1.2.8
120,ko:K00115,ec:1.1.5.9
121,ko:K00116,ec:1.1.5.4
122,ko:K00117,ec:1.1.5.2
123,ko:K00118,ec:1.1.99.28
124,ko:K00119,ec:1.1.99.36
125,ko:K00121,ec:1.1.1.284
126,ko:K00121,ec:1.1.1.1
127,ko:K00122,ec:1.17.1.9
128,ko:K00123,ec:1.17.1.9
129,ko:K00125,ec:1.17.98.3
130,ko:K00125,ec:1.8.98.6
131,ko:K00126,ec:1.17.1.9
132,ko:K00128,ec:1.2.1.3
133,ko:K00129,ec:1.2.1.5
134,ko:K00130,ec:1.2.1.8
135,ko:K00131,ec:1.2.1.9
136,ko:K00132,ec:1.2.1.10
137,ko:K00133,ec:1.2.1.11
138,ko:K00134,ec:1.2.1.12
139,ko:K00135,ec:1.2.1.16
140,ko:K00135,ec:1.2.1.79
141,ko:K00135,ec:1.2.1.20
142,ko:K00137,ec:1.2.1.19
143,ko:K00139,ec:1.2.1.24
144,ko:K00140,ec:1.2.1.18
145,ko:K00140,ec:1.2.1.27
146,ko:K00141,ec:1.2.1.28
147,ko:K00143,ec:1.2.1.95
148,ko:K00145,ec:1.2.1.38
149,ko:K00146,ec:1.2.1.39
150,ko:K00147,ec:1.2.1.41
151,ko:K00148,ec:1.2.1.46
152,ko:K00149,ec:1.2.1.47
153,ko:K00149,ec:1.2.1.3
154,ko:K00150,ec:1.2.1.59
155,ko:K00151,ec:1.2.1.60
156,ko:K00152,ec:1.2.1.65
157,ko:K00153,ec:1.1.1.306
158,ko:K00154,ec:1.2.1.68
159,ko:K00155,ec:1.2.1.101
160,ko:K00156,ec:1.2.5.1
161,ko:K00157,ec:1.2.3.1
162,ko:K00158,ec:1.2.3.3
163,ko:K00161,ec:1.2.4.1
164,ko:K00162,ec:1.2.4.1
165,ko:K00163,ec:1.2.4.1
166,ko:K00164,ec:1.2.4.2
167,ko:K00166,ec:1.2.4.4
168,ko:K00167,ec:1.2.4.4
169,ko:K00169,ec:1.2.7.1
170,ko:K00170,ec:1.2.7.1
171,ko:K00171,ec:1.2.7.1
172,ko:K00172,ec:1.2.7.1
173,ko:K00174,ec:1.2.7.3
174,ko:K00174,ec:1.2.7.11
175,ko:K00175,ec:1.2.7.3
176,ko:K00175,ec:1.2.7.11
177,ko:K00176,ec:1.2.7.3
178,ko:K00177,ec:1.2.7.3
179,ko:K00179,ec:1.2.7.8
180,ko:K00180,ec:1.2.7.8
181,ko:K00181,ec:2.3.1.250
182,ko:K00186,ec:1.2.7.7
183,ko:K00187,ec:1.2.7.7
184,ko:K00188,ec:1.2.7.7
185,ko:K00189,ec:1.2.7.7
186,ko:K00189,ec:1.2.7.1
187,ko:K00192,ec:1.2.7.4
188,ko:K00193,ec:2.3.1.169
189,ko:K00194,ec:2.1.1.245
190,ko:K00197,ec:2.1.1.245
191,ko:K00198,ec:1.2.7.4
192,ko:K00200,ec:1.2.7.12
