name,formula,mol (g cell)-1,NOSC,MW
Alanine,C3H7NO2,5.43E-04,0.00,89.0935  
Arginine,C6H15N4O2+,2.81E-04,0.33,174.2017
Asparagine,C4H8N2O3,2.29E-04,1.00,132.1184
Aspartate,C4H6NO4-,2.29E-04,1.00,133.1032
Cysteine,C3H7NO2S,8.70E-05,0.67,121.159
Glutamate,C5H8NO4-,2.78E-04,0.40,147.1299
Glutamine,C5H10N2O3,2.50E-04,0.40,146.1451
Glycine,C2H5NO2,5.82E-04,1.00,75.0669
Histidine,C6H9N3O2,9.00E-05,0.67,155.1552  
Isoleucine,C6H13NO2,2.76E-04,-1.00,131.1736
Leucine,C6H13NO2,4.28E-04,-1.00,131.1736
Lysine,C6H15N2O2+,3.26E-04,-0.67,146.1882
Methionine,C5H11NO2S,1.46E-04,-0.40,149.2124
Phenylalanine,C9H10NO2,1.76E-04,-0.44,165.19
Proline,C5H9NO2,2.10E-04,-0.40,115.131
Serine,C3H7NO3,2.05E-04,0.67,105.093
Threonine,C4H9NO3,2.41E-04,0.00,119.1197
Tryptophan,C11H12N2O2,5.40E-05,-0.18,204.2262
Tyrosine,C9H11NO3,1.31E-04,-0.22,181.1894 
Valine,C5H11NO2,4.02E-04,-0.80,117.1469
Ethanolamine,C2H7NO,1.31E-04,-1.00,61.08
Diaminopimelic acid,C7H14N2O4,2.79E-05,0.00,190.2
Putrescine,C4H12N2,3.40E-05,-1.50,88.15
Spermidine,C7H19N3,6.88E-06,-1.43,145.25
AMP2-,C10H12N5O7P2-,1.65E-04,1.00,345.2055
GMP2-,C10H12N5O8P2-,1.26E-04,1.20,361.2049  
CMP2-,C9H12N3O8P2-,2.03E-04,0.67,321.1808
UMP2-,C9H11N2O9P2-,1.36E-04,0.67,322.1655
dAMP2-,C10H12N5O6P2-,2.46E-05,0.80,329.2061
dGMP2-,C10H12N5O7P2-,2.54E-05,1.00,345.2055
dCMP2-,C9H12N3O7P2-,2.54E-05,0.44,305.1814  
dTMP2-,C10H14N2O6P2-,2.46E-05,0.20,289.2018
Palmitate,C16H31O2-,1.12E-04,-1.75,255.4241
Oleate,C18H35O2-,6.22E-05,-1.78,281.4614
Palmitoleate,C16H29O2-,8.56E-05,-1.63,253.408 
Myristate,C14H27O2-,1.67E-05,-1.71,227.37
β-Hydroxymyristate,C14H27O3-,3.37E-05,-1.57,243.3703
Glycerol,C3H8O3,1.61E-04,-0.67,92.09382
Glucose,C6H12O6,2.50E-05,0.00,180.1559
Heptose,C7H14O7,2.52E-05,0.00,210.182
Galactose,C6H12O6,8.33E-06,0.00,180.1559
Rhamnose,C6H12O5,8.53E-06,-0.33,164.1565
Glucoseamine,C6H13NO5,1.67E-05,0.00,179.17
N-acetylglucosamine,C8H15NO6,3.62E-05,0.00,221.208
N-acetylmuramic acid,C11H17NO8,2.76E-05,0.18,293.2705
