,label
3300014208_43,Aerobe
3300028561_83,Aerobe
3300007079_3,Anaerobe
3300029732_11,Anaerobe
3300029424_9,Anaerobe
3300021376_32,Aerobe
3300025229_7,Aerobe
3300001262_7,Aerobe
3300007966_8,Anaerobe
3300028398_49,Anaerobe
3300020193_41,Aerobe
3300009773_50,Anaerobe
3300029000_7,Anaerobe
3300025684_33,Aerobe
3300029404_27,Anaerobe
3300008364_13,Aerobe
3300027594_10,Aerobe
3300014927_6,Anaerobe
3300008278_5,Anaerobe
3300026263_19,Aerobe
3300014502_33,Anaerobe
3300029249_20,Anaerobe
3300009540_28,Anaerobe
3300013094_42,Aerobe
3300006250_9,Aerobe
3300006259_10,Anaerobe
3300025223_2,Aerobe
3300027835_112,Anaerobe
3300021306_37,Anaerobe
3300009503_46,Anaerobe
3300006320_7,Anaerobe
3300025778_1,Aerobe
3300029466_9,Anaerobe
3300010277_43,Anaerobe
3300029033_2,Facultative
3300002821_26,Anaerobe
3300029706_24,Anaerobe
3300006524_11,Anaerobe
3300021255_102,Anaerobe
3300014326_8,Aerobe
3300029357_8,Anaerobe
3300029393_13,Anaerobe
3300029297_21,Anaerobe
3300011942_1,Facultative
3300026261_18,Aerobe
3300027187_1,Aerobe
3300012983_58,Anaerobe
3300029821_36,Anaerobe
3300011140_3,Aerobe
3300021285_6,Anaerobe
3300007320_10,Aerobe
3300028569_51,Aerobe
3300013133_23,Anaerobe
3300003111_3,Anaerobe
3300014535_5,Anaerobe
3300029538_19,Anaerobe
3300006476_3,Anaerobe
3300029551_19,Anaerobe
3300028985_6,Anaerobe
3300006517_6,Anaerobe
3300006028_15,Aerobe
3300029580_12,Anaerobe
3300017418_9,Anaerobe
3300020439_15,Aerobe
3300025832_13,Aerobe
3300006226_89,Anaerobe
3300025394_7,Aerobe
3300025571_12,Aerobe
3300027026_15,Aerobe
3300007119_21,Anaerobe
3300012824_10,Aerobe
3300020139_34,Anaerobe
3300029845_26,Anaerobe
3300025624_3,Aerobe
3300029494_15,Anaerobe
3300027900_75,Anaerobe
3300028593_15,Anaerobe
3300021255_53,Anaerobe
3300012936_24,Aerobe
3300001990_7,Aerobe
3300029352_10,Anaerobe
3300027499_7,Aerobe
3300029231_18,Anaerobe
3300020477_58,Aerobe
3300014057_18,Anaerobe
3300029584_19,Anaerobe
3300021419_21,Aerobe
3300017467_11,Anaerobe
3300006746_5,Anaerobe
3300007353_16,Anaerobe
3300025832_30,Anaerobe
3300005256_2,Aerobe
3300029415_11,Anaerobe
3300025300_2,Aerobe
3300013137_55,Anaerobe
3300011013_18,Aerobe
3300027515_14,Anaerobe
3300020197_91,Aerobe
3300027832_142,Anaerobe
3300028175_10,Aerobe
3300026290_9,Anaerobe
3300008619_2,Anaerobe
3300029011_3,Anaerobe
3300029254_29,Anaerobe
3300029339_33,Anaerobe
3300012128_1,Aerobe
3300029495_15,Anaerobe
3300028561_61,Anaerobe
3300014534_5,Anaerobe
3300025632_22,Aerobe
3300008283_7,Anaerobe
3300023225_4,Aerobe
3300029119_24,Anaerobe
3300020056_50,Aerobe
3300020220_99,Aerobe
3300011013_16,Anaerobe
3300025699_33,Aerobe
3300012016_18,Anaerobe
3300015202_3,Aerobe
3300012178_4,Aerobe
3300013137_195,Aerobe
3300022661_97,Anaerobe
2162886008_14,Anaerobe
3300009029_20,Aerobe
3300007125_27,Anaerobe
3300006502_10,Anaerobe
3300029382_26,Anaerobe
3300017426_22,Aerobe
3300029899_15,Aerobe
3300020154_21,Aerobe
3300012330_3,Facultative
3300008081_27,Anaerobe
3300020109_55,Anaerobe
3300027419_47,Aerobe
3300025961_39,Aerobe
3300029852_12,Anaerobe
3300007222_27,Anaerobe
2061766007_347,Anaerobe
3300029204_17,Anaerobe
3300011208_2,Aerobe
3300020152_7,Aerobe
3300005056_15,Aerobe
3300027784_34,Aerobe
3300029129_10,Anaerobe
3300025118_7,Aerobe
3300020253_2,Aerobe
3300011867_1,Aerobe
3300021318_13,Anaerobe
3300027232_5,Aerobe
3300009503_130,Aerobe
3300029042_10,Anaerobe
3300012573_5,Aerobe
3300018878_178,Anaerobe
3300011847_3,Aerobe
3300026985_4,Aerobe
3300008144_43,Aerobe
3300022661_134,Anaerobe
3300024257_15,Anaerobe
3300011786_2,Aerobe
3300029336_13,Anaerobe
3300025661_25,Anaerobe
3300012527_13,Aerobe
3300025613_27,Anaerobe
