Run,ammonium,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Depth,diss_oxygen,env_broad_scale,env_local_scale,env_medium,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,hydrogen_sulfide,Instrument,Isolation_source,Lat_Lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,nitrate,Nitrite,Organism,phosphate,Platform,potential_density,ReleaseDate,create_date,version,Salinity,samp_collect_device,samp_store_temp,Sample Name,size_frac,SRA Study,Temp,tot_depth_water_col,water_filtered
SRR12347132,13.9 mM,WGS,469,1336433704,PRJNA649215,SAMN15667699,"MIMS.me,MIGS/MIMS/MIMARKS.water",789596531,UTRECHT UNIVERSITY,2013-06-09/2013-06-10,public,"sra,fastq","s3,gs","gs.US,s3.us-east-1",130 m,0.3 mmol / kg,marine,Black Sea,saline water,SRX8846681,uncalculated,uncalculated,not applicable,14.65 mM,Illumina MiSeq,suspended particulate matter (SPM) from the Black Sea western gyre,42.896667 N 30.678333 E,10_S2_L001,PAIRED,RANDOM,METAGENOMIC,under detection limit,0.001 mM,marine metagenome,5.5 mM,ILLUMINA,16.2 kg / m3,2020-07-29T00:00:00Z,2020-07-29T18:36:00Z,1,21.1 PSU,"McLane WTS_LV in situ pumps\, pre-combusted glass fiber filters with 142 mm diameter and 0.7 um pore size",-80 degrees C,NIOZ-UU_sample_10,> 0.7 um,SRP274176,8.6 degrees C,2107 m,265 L
SRR12347133,8.8 mM,WGS,470,1185820849,PRJNA649215,SAMN15667698,"MIMS.me,MIGS/MIMS/MIMARKS.water",704485719,UTRECHT UNIVERSITY,2013-06-09/2013-06-10,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",110 m,0.3 mmol / kg,marine,Black Sea,saline water,SRX8846680,uncalculated,uncalculated,not applicable,4.6 mM,Illumina MiSeq,suspended particulate matter (SPM) from the Black Sea western gyre,42.896667 N 30.678333 E,09_S1_L001,PAIRED,RANDOM,METAGENOMIC,0.027 mM,0.013 mM,marine metagenome,6.7 mM,ILLUMINA,16.2 kg / m3,2020-07-29T00:00:00Z,2020-07-29T18:35:00Z,1,20.9 PSU,"McLane WTS_LV in situ pumps\, pre-combusted glass fiber filters with 142 mm diameter and 0.7 um pore size",-80 degrees C,NIOZ-UU_sample_9,> 0.7 um,SRP274176,8.6 degrees C,2107 m,535 L
SRR12347134,7.2 mM,WGS,477,2146507603,PRJNA649215,SAMN15667697,"MIMS.me,MIGS/MIMS/MIMARKS.water",1263421531,UTRECHT UNIVERSITY,2013-06-09/2013-06-10,public,"sra,fastq","s3,gs","gs.US,s3.us-east-1",105 m,0.3 mmol / kg,marine,Black Sea,saline water,SRX8846679,uncalculated,uncalculated,not applicable,0.85 mM,Illumina MiSeq,suspended particulate matter (SPM) from the Black Sea western gyre,42.896667 N 30.678333 E,08_S5_L001,PAIRED,RANDOM,METAGENOMIC,0.03 mM,0.016 mM,marine metagenome,7.9 mM,ILLUMINA,16.1 kg / m3,2020-07-29T00:00:00Z,2020-07-29T18:37:00Z,1,20.9 PSU,"McLane WTS_LV in situ pumps\, pre-combusted glass fiber filters with 142 mm diameter and 0.7 um pore size",-80 degrees C,NIOZ-UU_sample_8,> 0.7 um,SRP274176,8.6 degrees C,2107 m,524 L
SRR12347135,5.7 mM,WGS,477,1457293494,PRJNA649215,SAMN15667696,"MIMS.me,MIGS/MIMS/MIMARKS.water",870038451,UTRECHT UNIVERSITY,2013-06-09/2013-06-10,public,"fastq,sra","s3,gs","s3.us-east-1,gs.US",100 m,0.3 mmol / kg,marine,Black Sea,saline water,SRX8846678,uncalculated,uncalculated,not applicable,0.2 mM,Illumina MiSeq,suspended particulate matter (SPM) from the Black Sea western gyre,42.896667 N 30.678333 E,07_S4_L001,PAIRED,RANDOM,METAGENOMIC,0.03 mM,0.012 mM,marine metagenome,7.2 mM,ILLUMINA,16.1 kg / m3,2020-07-29T00:00:00Z,2020-07-29T18:36:00Z,1,20.9 PSU,"McLane WTS_LV in situ pumps\, pre-combusted glass fiber filters with 142 mm diameter and 0.7 um pore size",-80 degrees C,NIOZ-UU_sample_7,> 0.7 um,SRP274176,8.5 degrees C,2107 m,390 L
SRR12347136,1.1 mM,WGS,479,1355811014,PRJNA649215,SAMN15667695,"MIMS.me,MIGS/MIMS/MIMARKS.water",809066169,UTRECHT UNIVERSITY,2013-06-09/2013-06-10,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",95 m,0.3 mmol / kg,marine,Black Sea,saline water,SRX8846677,uncalculated,uncalculated,not applicable,0.2 mM,Illumina MiSeq,suspended particulate matter (SPM) from the Black Sea western gyre,42.896667 N 30.678333 E,06_S3_L001,PAIRED,RANDOM,METAGENOMIC,0.04 mM,0.014 mM,marine metagenome,4.7 mM,ILLUMINA,16.1 kg / m3,2020-07-29T00:00:00Z,2020-07-29T18:36:00Z,1,20.8 PSU,"McLane WTS_LV in situ pumps\, pre-combusted glass fiber filters with 142 mm diameter and 0.7 um pore size",-80 degrees C,NIOZ-UU_sample_6,> 0.7 um,SRP274176,8.5 degrees C,2107 m,290 L
SRR12347137,0.4 mM,WGS,470,1624891591,PRJNA649215,SAMN15667694,"MIMS.me,MIGS/MIMS/MIMARKS.water",1067801022,UTRECHT UNIVERSITY,2013-06-09/2013-06-10,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",90 m,0.3 mmol / kg,marine,Black Sea,saline water,SRX8846676,uncalculated,uncalculated,not applicable,0.1 mM,Illumina MiSeq,suspended particulate matter (SPM) from the Black Sea western gyre,42.896667 N 30.678333 E,05_S4_L001,PAIRED,RANDOM,METAGENOMIC,0.035 mM,0.015 mM,marine metagenome,2.1 mM,ILLUMINA,16.0 kg / m3,2020-07-29T00:00:00Z,2020-07-29T18:37:00Z,1,20.6 PSU,"McLane WTS_LV in situ pumps\, pre-combusted glass fiber filters with 142 mm diameter and 0.7 um pore size",-80 degrees C,NIOZ-UU_sample_5,> 0.7 um,SRP274176,8.5 degrees C,2107 m,495 L
SRR12347138,0.1 mM,WGS,474,1297428295,PRJNA649215,SAMN15667693,"MIMS.me,MIGS/MIMS/MIMARKS.water",849835956,UTRECHT UNIVERSITY,2013-06-09/2013-06-10,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",85 m,0.3 mmol / kg,marine,Black Sea,saline water,SRX8846675,uncalculated,uncalculated,not applicable,0.15 mM,Illumina MiSeq,suspended particulate matter (SPM) from the Black Sea western gyre,42.896667 N 30.678333 E,04_S2_L001,PAIRED,RANDOM,METAGENOMIC,0.344 mM,0.042 mM,marine metagenome,0.8 mM,ILLUMINA,16.0 kg / m3,2020-07-29T00:00:00Z,2020-07-29T18:37:00Z,1,20.5 PSU,"McLane WTS_LV in situ pumps\, pre-combusted glass fiber filters with 142 mm diameter and 0.7 um pore size",-80 degrees C,NIOZ-UU_sample_4,> 0.7 um,SRP274176,8.5 degrees C,2107 m,441 L
SRR12347139,0.1 mM,WGS,464,1303247448,PRJNA649215,SAMN15667692,"MIMS.me,MIGS/MIMS/MIMARKS.water",840879307,UTRECHT UNIVERSITY,2013-06-09/2013-06-10,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",80 m,0.5 mmol / kg,marine,Black Sea,saline water,SRX8846674,uncalculated,uncalculated,not applicable,0.1 mM,Illumina MiSeq,suspended particulate matter (SPM) from the Black Sea western gyre,42.896667 N 30.678333 E,03_S5_L001,PAIRED,RANDOM,METAGENOMIC,2.518 mM,0.024 mM,marine metagenome,1.1 mM,ILLUMINA,15.9 kg / m3,2020-07-29T00:00:00Z,2020-07-29T18:38:00Z,1,20.4 PSU,"McLane WTS_LV in situ pumps\, pre-combusted glass fiber filters with 142 mm diameter and 0.7 um pore size",-80 degrees C,NIOZ-UU_sample_3,> 0.7 um,SRP274176,8.5 degrees C,2107 m,400 L
SRR12347140,100.2 mM,WGS,487,1221060706,PRJNA649215,SAMN15667704,"MIMS.me,MIGS/MIMS/MIMARKS.water",714532799,UTRECHT UNIVERSITY,2013-06-09/2013-06-10,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",2000 m,0.5 mmol / kg,marine,Black Sea,saline water,SRX8846673,uncalculated,uncalculated,not applicable,397 mM,Illumina MiSeq,suspended particulate matter (SPM) from the Black Sea western gyre,42.896667 N 30.678333 E,15_S1_L001,PAIRED,RANDOM,METAGENOMIC,under detection limit,0.001 mM,marine metagenome,8.4 mM,ILLUMINA,17.2 kg / m3,2020-07-29T00:00:00Z,2020-07-29T18:38:00Z,1,22.3 PSU,"McLane WTS_LV in situ pumps\, pre-combusted glass fiber filters with 142 mm diameter and 0.7 um pore size",-80 degrees C,NIOZ-UU_sample_15,> 0.7 um,SRP274176,9.1 degrees C,2107 m,148 L
SRR12347141,90.8 mM,WGS,474,1762948150,PRJNA649215,SAMN15667703,"MIMS.me,MIGS/MIMS/MIMARKS.water",1022041129,UTRECHT UNIVERSITY,2013-06-09/2013-06-10,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",1000 m,0.4 mmol / kg,marine,Black Sea,saline water,SRX8846672,uncalculated,uncalculated,not applicable,353.8 mM,Illumina MiSeq,suspended particulate matter (SPM) from the Black Sea western gyre,42.896667 N 30.678333 E,14_S5_L001,PAIRED,RANDOM,METAGENOMIC,under detection limit,0 mM,marine metagenome,7.9 mM,ILLUMINA,17.0 kg / m3,2020-07-29T00:00:00Z,2020-07-29T18:37:00Z,1,22.3 PSU,"McLane WTS_LV in situ pumps\, pre-combusted glass fiber filters with 142 mm diameter and 0.7 um pore size",-80 degrees C,NIOZ-UU_sample_14,> 0.7 um,SRP274176,9.0 degrees C,2107 m,796 L
