genome,SRR12347140,SRR12347133,SRR12347143,SRR12347136,SRR12347135,SRR12347132,SRR12347138,SRR12347134,SRR12347146,SRR12347139,SRR12347137,SRR12347145,SRR12347142,SRR12347144,SRR12347141
GCA_014383885.1,2.331993473527599e-06,0.0006499301430833193,7.6120845872750126e-06,0.0013005243460766087,0.004301219450663154,6.989028560642955e-05,8.852429992032812e-05,0.001575937548508933,3.1219625905629313e-06,7.403256521699515e-06,0.00047048634213784843,1.1975079858813808e-06,4.933653326433528e-06,1.2690280559441954e-05,2.035361557556361e-06
GCA_014382875.1,3.264790862938638e-05,0.00010432718131923131,2.14929447170118e-05,0.0003562467836244235,0.0001845453307612184,5.653545396188887e-05,0.004650707991892794,0.00013295466131235206,0.043238141225099745,0.01907591413133605,0.0018142819444663724,0.033113490825591944,3.0698287364475284e-05,4.622887918082426e-05,1.2619241656849439e-05
GCA_014382685.1,0.09941987775690211,0.00047464168077668295,0.009016290308786451,2.310387090451282e-05,7.153723495800039e-05,0.0014734830914476548,1.7357705866731007e-06,0.0002135541192063686,2.081308393708621e-06,1.708443812699888e-06,4.059805445101281e-06,2.9937699647034523e-06,0.02649865201627448,0.00276376181612418,0.06415500336648802
GCA_014384665.1,0.043367305296034914,0.0001372231393928628,0.0011982316679734078,7.45286158210091e-06,3.110314563391321e-05,0.0003067159667696176,2.892950977788501e-06,7.554764002031749e-05,6.2439251811258626e-06,1.708443812699888e-06,3.1576264573009963e-06,5.987539929406904e-07,0.007473936605843857,0.00042829696888116594,0.03281165659705459
GCA_014383265.1,3.1093246313701315e-06,9.868787422089447e-06,1.79107872641765e-06,0.00024557178913022496,3.4559050704348014e-05,1.37999926993587e-05,0.002643578603503132,1.4007313195256435e-05,3.746355108675518e-05,0.0019083317387857748,0.0008791734236113773,0.000756226293084092,1.644551108811176e-06,9.517710419581466e-06,0.0
GCA_014383515.1,1.2437298525480526e-05,0.0004549041059325041,0.00010209148740580605,0.0010109806736119883,0.0011259338719476581,0.00025107083491736473,4.3394264666827515e-05,0.00048382637544926735,5.203270984271552e-06,1.2528587959799179e-05,0.0003112517507910982,5.987539929406905e-06,4.9884716967272334e-05,9.517710419581466e-05,2.2796049444631244e-05
GCA_014384145.1,0.0,8.97589713151945e-05,4.3881428797232424e-05,0.0004020818823543441,0.00016450108135269653,4.0509655988440056e-05,0.004731132029075314,8.93253251304058e-05,0.002751489696482797,0.013059344504277943,0.0012738767307740018,0.006773703922138031,2.0830980711608228e-05,4.214986042957506e-05,3.256578492090178e-06
GCA_014383825.1,0.04236843475820726,0.0015047551107395434,0.009220025513916458,0.00022507641977944747,0.0006054745683401772,0.00326659182025465,1.2150394106711704e-05,0.0011336738564750987,0.0,2.8474063544998134e-06,5.683727623141793e-05,5.3887859364662135e-06,0.019236314319764324,0.0043772403443960856,0.03257148393326294
GCA_014381395.1,0.025366647673875378,0.01722620341638623,0.02811724938666748,0.0018442105984908701,0.005066702423764462,0.030307900095175432,0.00011629662930709774,0.010950733753583346,2.8097663315066382e-05,6.150397725719597e-05,0.0004005674705833264,2.6943929682331067e-05,0.02274688275337325,0.024829440363159573,0.01692362427876963
GCA_014381855.1,0.0005145932264917568,0.089571934296433,0.019933810685665236,0.10937484279120101,0.13048668128744906,0.08284536262374365,0.012291570114427783,0.11352031795223184,0.00031427756745000177,0.0015911306708944956,0.06027548035392482,0.00032272840219503215,0.0013167372544548148,0.07071613519318459,0.000886603494471551
GCA_014384345.1,2.409726589311852e-05,0.03527245607332227,0.0025303464707465352,0.010873352405206121,0.018040170058176704,0.02037858276745944,0.0016628682220328303,0.03786130831060781,7.076448538609311e-05,0.000793287410363648,0.008871125987040198,0.0006993446637547264,0.00046431159638768866,0.018920301865516565,3.256578492090178e-05
GCA_014381545.1,0.046379463532674726,0.00028948443104795716,0.0008140452811568219,0.00016172709633158972,0.0003400610589307844,0.00045183847064029294,1.4464754888942504e-05,0.0003690123328651982,3.1219625905629313e-06,0.0,7.307649801182305e-05,5.987539929406904e-07,0.008484239170356856,0.0005343514564136451,0.037603711848165286
GCA_014382465.1,7.928777809993835e-05,0.0015757163917269484,6.537437351424422e-05,0.02317318251722636,0.009076243486482918,0.00034945142803214773,0.00473228920946643,0.001547693294033252,6.0357943417550005e-05,0.00031492314280767936,0.011903800654530856,0.00019579255569160577,5.1529268076083515e-05,0.00011829154378622679,5.8618412857623204e-05
GCA_014384865.1,0.0002464139770360829,0.012810156016130298,0.0015909256787404776,0.026328351468008777,0.02774469708646467,0.0069044479602275305,0.003664790298662473,0.021182042716334917,0.00013528504559106038,0.0009214206963161396,0.015919399329229922,0.0004939720441760696,0.0005498282540458698,0.003548293089281109,0.0003126315352406571
GCA_014381605.1,0.01898164954335681,0.008076427649334725,0.03660696254988714,0.00016508088404353514,0.0006224085031853077,0.05493020319821508,2.2565017626750308e-05,0.0023291176678604266,2.185373813394052e-05,2.1070807023298618e-05,4.781548635341508e-05,1.0178817879991738e-05,0.01393866701458059,0.08108545408316575,0.011984615923203367
GCA_014381325.1,2.953858399801625e-05,3.853526517196832e-05,3.0000568667495638e-05,0.000360718500573684,7.637550205660911e-05,2.5819341179445313e-05,0.010537863231692394,2.7096114049840318e-05,0.040468960407270424,0.03490521553727141,0.003972294083284653,0.017345304421498862,1.973461330573411e-05,2.2661215284717776e-05,6.513156984180356e-06
GCA_014382815.1,0.0035936019427060296,0.009469806444882118,0.023274620280115756,0.002702034966590685,0.0076347854816045625,0.01696330715489557,9.546738226702053e-05,0.01081089024971595,8.325233574834485e-06,1.2528587959799179e-05,0.000738433501514533,1.7962619788220713e-06,0.007460780196973368,0.028110784336386706,0.004866142411805749
GCA_014383645.1,0.0,0.0001409826774584207,2.686618089626475e-06,0.001442501359215631,0.0005913053575513945,4.407094442698424e-05,0.0004981661583751799,0.00017290994813160812,7.2845793779801735e-06,0.0001343975799323912,0.00120486003820728,3.8320255548204186e-05,0.0,1.0877383336664531e-05,8.141446230225445e-07
GCA_014384055.1,0.0014909211607419782,0.0005465428462804776,0.002794978352574743,6.483989576427792e-05,0.00018143501619782707,0.001634186232236961,4.050131368903902e-06,0.0004156268341543303,0.0,1.1389625417999252e-06,4.0146964957112667e-05,1.1975079858813808e-06,0.0029201745855457115,0.0021002414325876433,0.0012619241656849438
GCA_014381925.1,1.9433278946063322e-05,0.0001372231393928628,3.044833834910005e-05,0.013088342867406512,0.0004278410477198284,7.033544666124758e-05,0.03748396581920561,0.00018576912090102386,0.00020292756838659055,0.017303688416295364,0.028072201384393657,0.009802800372424984,1.973461330573411e-05,4.894822501499039e-05,2.4424338690676333e-05
GCA_014382765.1,0.0037187522591186776,0.00529624924985467,0.01059826059389484,0.0011164386649987162,0.002827967119136798,0.008401079426525723,4.6287215644616014e-05,0.004088068800248366,5.203270984271552e-06,2.0501325752398653e-05,0.00023727307379147486,1.7363865795280023e-05,0.007407058194085536,0.009975920192638458,0.0046874376670523
GCA_014383965.1,0.0001461382576743962,0.0010531406006144025,0.0007629995374539189,0.0004046903839080794,0.0008511894188480915,0.0010795155579337047,1.4464754888942504e-05,0.0008340092053306783,1.0406541968543106e-06,4.555850167199701e-06,9.969077815193146e-05,7.783801908228975e-06,0.0005843638273309045,0.0008013005724676205,0.00021045638505132774
GCA_014381415.1,1.5546623156850657e-06,3.3835842590020966e-05,5.821005860857363e-06,0.0007717438168265492,0.00010056683754965272,2.5819341179445313e-05,0.028859500364222527,6.980693789111403e-05,9.157756932317932e-05,0.015791146160785065,0.007908501007057296,0.004016441784646151,4.385469623496469e-06,9.970934725275821e-06,3.256578492090178e-06
GCA_014381955.1,7.229179767935555e-05,0.0028539593340166296,0.0002006008173587768,0.004968822816786676,0.004176461277620457,0.0015887798046455228,0.0004073274976726209,0.0027654110296798894,2.497570072450345e-05,0.0001235774357852919,0.002167936107684084,6.406667724465388e-05,9.593214801398527e-05,0.0004931080445954588,6.350328059575847e-05
GCA_014383915.1,3.886655789212665e-06,0.0,8.95539363208825e-07,7.080218502995864e-06,1.3823620281739204e-06,8.903221096360452e-07,0.0004287353349082558,1.1481404258406913e-06,0.00391598174276277,0.003310964109012383,7.03699610484222e-05,0.00361647411736177,0.0,1.3596729170830664e-06,4.477795426623995e-06
GCA_014383505.1,3.420257094507145e-05,0.0006334821640465036,0.0004119481070760595,0.00023737364138991398,0.00047587812819887214,0.0006178835440874154,1.3886164693384805e-05,0.00044065629543765735,0.0,5.694812708999626e-07,5.367964977411694e-05,1.1975079858813808e-06,0.00024448993150992814,0.0004971870633467079,6.798107602238247e-05
GCA_014384295.1,0.009342743186109403,0.00044033589592846724,0.0023301934230693625,2.6085015537353185e-05,9.780211349330488e-05,0.0009553156236394765,5.785901955577002e-07,0.0002195244494207402,0.0,0.0,1.353268481700427e-06,0.0,0.004398077848664021,0.0010614513239361805,0.006577881481710648
GCA_014381285.1,0.0,0.00037266421074842537,9.447940281853104e-05,0.001294562056810928,0.0006400336190445252,0.00018963860935247763,0.005662662243923212,0.00041976013968735677,0.04321524683276895,0.013814476669491293,0.0038617771572791184,0.01991934783715089,4.1661961423216456e-05,0.00014140598337663893,5.291940049646539e-06
GCA_014382595.1,2.953858399801625e-05,0.00020113528650734684,2.3731793125033863e-05,0.0017093138038548436,0.00033314924878991486,0.00010728381421114345,0.012646245904304652,0.00019105056685989104,0.002017828487700508,0.03063752289314709,0.0038910979743826276,0.04891580620728264,1.3704592573426466e-05,0.0001577220583816357,1.2619241656849439e-05
GCA_014382705.1,2.7206590524488653e-05,1.4568210004036804e-05,1.1642011721714726e-05,0.003131692436798802,5.494889061991334e-05,1.2909670589722657e-05,0.04532212719842577,2.686648596467218e-05,0.0027369205377268365,0.04586089622684489,0.012224074195199957,0.0669820104362821,1.4800959979300583e-05,1.1330607642358888e-05,1.0990952410804351e-05
GCA_014384285.1,3.497990210291398e-05,1.6447979036815747e-05,6.268775542461775e-06,0.0005477853262844169,6.842692039460906e-05,7.122576877088362e-06,0.007846261641957973,2.250355234647755e-05,0.009534473751579193,0.022022979708243354,0.0028707335391805057,0.006139024689620899,5.481837029370586e-06,4.0790187512492e-06,6.513156984180356e-06
GCA_014382185.1,4.663986947055198e-06,5.686301324156301e-05,4.925466497648537e-06,0.0032814949545990303,0.00021081020929652287,2.403869696017322e-05,0.019534362182419072,6.636251661359197e-05,0.00019460233481175606,0.008263173240758459,0.008498526065078681,0.005253467534061617,4.385469623496469e-06,3.625794445554844e-06,4.070723115112722e-06
GCA_014383995.1,1.5546623156850657e-06,2.4436997426126252e-05,8.95539363208825e-07,3.950016638513482e-05,2.8684012084608852e-05,1.7806442192720904e-06,0.0007272878758160291,1.3548057024920159e-05,0.002192658392772032,0.003981813046132539,0.0001876532294624592,0.004465507279351669,0.0,2.2661215284717774e-06,0.0
GCA_014384105.1,1.554662315685066e-05,1.926763258598416e-05,1.07464723585059e-05,0.00038046858376625145,0.00012614053507087024,1.2464509534904634e-05,0.000459400615272814,1.4236941280424573e-05,0.01567849612980704,0.0009692571230717365,0.0008457928010627668,0.0009113035772557309,1.3704592573426466e-05,6.798364585415332e-06,1.2619241656849439e-05
