,prediction
0,aerobe
1,anaerobe
2,anaerobe
3,anaerobe
4,anaerobe
5,aerobe
6,aerobe
7,aerobe
8,facultative
9,anaerobe
10,aerobe
11,anaerobe
12,anaerobe
13,aerobe
14,anaerobe
15,aerobe
16,anaerobe
17,anaerobe
18,anaerobe
19,aerobe
20,anaerobe
21,anaerobe
22,anaerobe
23,aerobe
24,facultative
25,facultative
26,aerobe
27,anaerobe
28,anaerobe
29,anaerobe
30,anaerobe
31,aerobe
32,anaerobe
33,anaerobe
34,facultative
35,anaerobe
36,anaerobe
37,anaerobe
38,anaerobe
39,aerobe
40,anaerobe
41,anaerobe
42,anaerobe
43,facultative
44,aerobe
45,aerobe
46,anaerobe
47,anaerobe
48,anaerobe
49,anaerobe
50,anaerobe
51,aerobe
52,anaerobe
53,anaerobe
54,anaerobe
55,anaerobe
56,anaerobe
57,anaerobe
58,anaerobe
59,anaerobe
60,aerobe
61,anaerobe
62,anaerobe
63,aerobe
64,aerobe
65,anaerobe
66,aerobe
67,aerobe
68,aerobe
69,anaerobe
70,aerobe
71,anaerobe
72,anaerobe
73,aerobe
74,anaerobe
75,anaerobe
76,anaerobe
77,anaerobe
78,aerobe
79,anaerobe
80,anaerobe
81,aerobe
82,anaerobe
83,aerobe
84,anaerobe
85,anaerobe
86,aerobe
87,aerobe
88,anaerobe
89,anaerobe
90,anaerobe
91,aerobe
92,anaerobe
93,aerobe
94,anaerobe
95,anaerobe
96,anaerobe
97,anaerobe
98,anaerobe
99,aerobe
100,anaerobe
101,anaerobe
102,anaerobe
103,anaerobe
104,anaerobe
105,aerobe
106,anaerobe
107,anaerobe
108,anaerobe
109,aerobe
110,anaerobe
111,aerobe
112,anaerobe
113,aerobe
114,anaerobe
115,aerobe
116,aerobe
117,anaerobe
118,aerobe
119,aerobe
120,anaerobe
121,anaerobe
122,anaerobe
123,aerobe
124,anaerobe
125,anaerobe
126,anaerobe
127,aerobe
128,aerobe
129,anaerobe
130,aerobe
131,anaerobe
132,anaerobe
133,aerobe
134,anaerobe
135,anaerobe
136,anaerobe
137,anaerobe
138,anaerobe
139,aerobe
140,aerobe
141,aerobe
142,aerobe
143,anaerobe
144,aerobe
145,aerobe
146,aerobe
147,anaerobe
148,aerobe
149,aerobe
150,anaerobe
151,aerobe
152,anaerobe
153,aerobe
154,aerobe
155,anaerobe
156,anaerobe
157,aerobe
158,aerobe
159,anaerobe
160,anaerobe
161,aerobe
162,anaerobe
163,anaerobe
164,aerobe
165,aerobe
166,aerobe
167,anaerobe
168,aerobe
169,anaerobe
170,aerobe
171,anaerobe
172,anaerobe
173,anaerobe
174,anaerobe
175,anaerobe
176,anaerobe
177,anaerobe
178,anaerobe
179,anaerobe
180,aerobe
181,aerobe
182,anaerobe
183,aerobe
184,anaerobe
185,aerobe
186,anaerobe
187,aerobe
188,aerobe
189,anaerobe
190,anaerobe
191,anaerobe
192,aerobe
193,aerobe
194,anaerobe
195,anaerobe
196,anaerobe
197,anaerobe
198,aerobe
199,facultative
200,anaerobe
201,anaerobe
202,anaerobe
203,anaerobe
204,anaerobe
205,anaerobe
206,anaerobe
207,anaerobe
208,anaerobe
209,anaerobe
210,anaerobe
211,aerobe
212,aerobe
213,aerobe
214,anaerobe
215,anaerobe
216,aerobe
217,anaerobe
218,aerobe
219,aerobe
220,aerobe
221,aerobe
222,anaerobe
223,aerobe
224,aerobe
225,anaerobe
226,anaerobe
227,anaerobe
228,anaerobe
229,aerobe
230,anaerobe
231,anaerobe
232,anaerobe
233,anaerobe
234,anaerobe
235,anaerobe
236,anaerobe
237,aerobe
238,anaerobe
239,anaerobe
240,facultative
241,anaerobe
242,anaerobe
243,anaerobe
244,aerobe
245,aerobe
246,anaerobe
247,anaerobe
248,anaerobe
249,anaerobe
250,anaerobe
251,anaerobe
252,aerobe
253,anaerobe
254,aerobe
255,aerobe
256,anaerobe
257,aerobe
258,anaerobe
259,anaerobe
260,anaerobe
261,aerobe
262,anaerobe
263,anaerobe
264,anaerobe
265,aerobe
266,aerobe
267,aerobe
268,anaerobe
269,aerobe
270,facultative
271,anaerobe
272,aerobe
273,aerobe
274,aerobe
275,anaerobe
276,aerobe
277,aerobe
278,aerobe
279,facultative
280,anaerobe
281,aerobe
282,anaerobe
283,aerobe
284,aerobe
285,anaerobe
286,anaerobe
287,anaerobe
288,aerobe
289,anaerobe
290,anaerobe
291,aerobe
292,anaerobe
293,aerobe
294,aerobe
295,anaerobe
296,aerobe
297,anaerobe
298,aerobe
299,anaerobe
300,aerobe
301,anaerobe
302,aerobe
303,anaerobe
304,aerobe
305,aerobe
306,aerobe
307,anaerobe
308,anaerobe
309,anaerobe
310,aerobe
311,anaerobe
312,aerobe
313,anaerobe
314,anaerobe
315,aerobe
316,aerobe
317,facultative
318,aerobe
319,anaerobe
320,anaerobe
321,anaerobe
322,anaerobe
323,anaerobe
324,anaerobe
325,facultative
326,anaerobe
327,anaerobe
328,facultative
329,anaerobe
330,aerobe
331,anaerobe
332,anaerobe
333,aerobe
334,anaerobe
335,anaerobe
336,aerobe
337,aerobe
338,anaerobe
339,anaerobe
340,anaerobe
341,aerobe
342,anaerobe
343,facultative
344,aerobe
345,aerobe
346,anaerobe
347,anaerobe
348,anaerobe
349,aerobe
350,aerobe
351,anaerobe
352,aerobe
353,anaerobe
354,facultative
355,anaerobe
356,aerobe
357,anaerobe
358,anaerobe
359,anaerobe
360,aerobe
361,anaerobe
362,anaerobe
363,anaerobe
364,anaerobe
365,anaerobe
366,aerobe
367,aerobe
368,anaerobe
369,anaerobe
370,anaerobe
371,aerobe
372,aerobe
373,aerobe
374,aerobe
375,anaerobe
376,anaerobe
377,aerobe
378,anaerobe
379,aerobe
380,anaerobe
381,aerobe
382,anaerobe
383,anaerobe
384,anaerobe
385,aerobe
386,anaerobe
387,anaerobe
388,anaerobe
389,facultative
390,aerobe
391,aerobe
392,aerobe
393,anaerobe
394,anaerobe
395,anaerobe
396,anaerobe
397,aerobe
398,aerobe
399,anaerobe
400,anaerobe
401,anaerobe
402,anaerobe
403,anaerobe
404,anaerobe
405,aerobe
406,aerobe
407,aerobe
408,aerobe
409,anaerobe
410,aerobe
411,aerobe
412,aerobe
413,aerobe
414,aerobe
415,anaerobe
416,anaerobe
417,anaerobe
418,aerobe
419,facultative
420,anaerobe
421,anaerobe
422,aerobe
423,anaerobe
424,aerobe
425,anaerobe
426,aerobe
427,anaerobe
428,aerobe
429,anaerobe
430,anaerobe
431,aerobe
432,anaerobe
433,anaerobe
434,aerobe
435,aerobe
436,anaerobe
437,aerobe
438,facultative
439,aerobe
440,aerobe
441,anaerobe
442,facultative
443,aerobe
444,anaerobe
445,anaerobe
446,anaerobe
447,aerobe
448,aerobe
449,anaerobe
450,anaerobe
451,anaerobe
452,anaerobe
453,aerobe
454,aerobe
455,facultative
456,aerobe
457,aerobe
458,anaerobe
459,aerobe
460,aerobe
461,aerobe
462,anaerobe
463,aerobe
464,aerobe
465,anaerobe
466,aerobe
467,aerobe
468,aerobe
469,aerobe
470,anaerobe
471,aerobe
472,anaerobe
473,aerobe
474,anaerobe
475,anaerobe
476,anaerobe
477,aerobe
478,aerobe
479,anaerobe
480,aerobe
481,aerobe
482,anaerobe
483,aerobe
484,aerobe
485,aerobe
486,anaerobe
487,anaerobe
488,aerobe
489,anaerobe
490,aerobe
491,anaerobe
492,aerobe
493,aerobe
494,aerobe
495,anaerobe
496,aerobe
497,aerobe
498,anaerobe
499,aerobe
500,aerobe
501,aerobe
502,anaerobe
503,anaerobe
504,anaerobe
505,anaerobe
506,facultative
507,aerobe
508,aerobe
509,aerobe
510,aerobe
511,anaerobe
512,aerobe
513,anaerobe
514,aerobe
515,anaerobe
516,aerobe
517,aerobe
518,aerobe
519,anaerobe
520,aerobe
521,anaerobe
522,aerobe
523,aerobe
524,anaerobe
525,anaerobe
526,anaerobe
527,anaerobe
528,anaerobe
529,aerobe
530,aerobe
531,aerobe
532,anaerobe
533,anaerobe
534,aerobe
535,aerobe
536,anaerobe
537,anaerobe
538,facultative
539,anaerobe
540,anaerobe
541,anaerobe
542,anaerobe
543,aerobe
544,anaerobe
545,anaerobe
546,aerobe
547,anaerobe
548,anaerobe
549,aerobe
550,facultative
551,aerobe
552,facultative
553,aerobe
554,aerobe
555,aerobe
556,aerobe
557,aerobe
558,anaerobe
559,anaerobe
560,aerobe
561,aerobe
562,aerobe
563,anaerobe
564,aerobe
565,anaerobe
566,aerobe
567,aerobe
568,anaerobe
569,anaerobe
570,anaerobe
571,aerobe
572,anaerobe
573,anaerobe
574,anaerobe
575,aerobe
576,aerobe
577,anaerobe
578,anaerobe
579,anaerobe
580,anaerobe
581,anaerobe
582,anaerobe
583,facultative
584,anaerobe
585,anaerobe
586,anaerobe
587,anaerobe
588,anaerobe
589,aerobe
590,anaerobe
591,anaerobe
592,anaerobe
593,anaerobe
594,aerobe
595,aerobe
596,aerobe
597,anaerobe
598,anaerobe
599,aerobe
600,aerobe
601,aerobe
602,anaerobe
603,anaerobe
604,aerobe
605,aerobe
606,anaerobe
607,aerobe
608,anaerobe
609,anaerobe
610,anaerobe
611,aerobe
612,aerobe
613,anaerobe
614,anaerobe
615,aerobe
616,anaerobe
617,aerobe
618,anaerobe
619,anaerobe
620,anaerobe
621,anaerobe
622,anaerobe
623,aerobe
624,aerobe
625,anaerobe
626,anaerobe
627,aerobe
628,aerobe
629,aerobe
630,aerobe
631,anaerobe
632,anaerobe
633,aerobe
634,anaerobe
635,anaerobe
636,aerobe
637,anaerobe
638,anaerobe
639,anaerobe
640,anaerobe
641,aerobe
642,aerobe
643,anaerobe
644,aerobe
645,aerobe
646,anaerobe
647,aerobe
648,anaerobe
649,anaerobe
650,anaerobe
651,aerobe
652,aerobe
653,anaerobe
654,aerobe
655,aerobe
656,aerobe
657,aerobe
658,anaerobe
659,aerobe
660,anaerobe
661,anaerobe
662,aerobe
663,anaerobe
664,anaerobe
665,aerobe
666,facultative
667,anaerobe
668,aerobe
669,anaerobe
670,anaerobe
671,aerobe
672,anaerobe
673,facultative
674,anaerobe
675,anaerobe
676,aerobe
677,anaerobe
678,aerobe
679,aerobe
680,anaerobe
681,aerobe
682,anaerobe
683,facultative
684,anaerobe
685,aerobe
686,anaerobe
687,anaerobe
688,aerobe
689,anaerobe
690,aerobe
691,aerobe
692,anaerobe
693,anaerobe
694,anaerobe
695,aerobe
696,aerobe
697,aerobe
698,aerobe
699,anaerobe
700,anaerobe
701,aerobe
702,anaerobe
703,aerobe
704,anaerobe
705,anaerobe
706,aerobe
707,aerobe
708,anaerobe
709,facultative
710,aerobe
711,anaerobe
712,anaerobe
713,anaerobe
714,anaerobe
715,aerobe
716,aerobe
717,aerobe
718,anaerobe
719,anaerobe
720,aerobe
721,anaerobe
722,aerobe
723,aerobe
724,anaerobe
725,anaerobe
726,facultative
727,anaerobe
728,aerobe
729,anaerobe
730,anaerobe
731,facultative
732,anaerobe
733,anaerobe
734,facultative
735,anaerobe
736,aerobe
737,anaerobe
738,anaerobe
739,aerobe
740,anaerobe
741,aerobe
742,anaerobe
743,anaerobe
744,aerobe
745,anaerobe
746,facultative
747,anaerobe
748,anaerobe
749,anaerobe
750,anaerobe
751,anaerobe
752,anaerobe
753,anaerobe
754,anaerobe
755,anaerobe
756,anaerobe
757,aerobe
758,anaerobe
759,aerobe
760,anaerobe
761,aerobe
762,anaerobe
763,aerobe
764,aerobe
765,anaerobe
766,anaerobe
767,aerobe
768,anaerobe
769,aerobe
770,aerobe
771,anaerobe
772,anaerobe
773,anaerobe
774,anaerobe
775,anaerobe
776,anaerobe
777,anaerobe
778,facultative
779,aerobe
780,aerobe
781,anaerobe
782,anaerobe
783,aerobe
784,facultative
785,anaerobe
786,aerobe
787,aerobe
788,anaerobe
789,aerobe
790,aerobe
791,anaerobe
792,aerobe
793,anaerobe
794,aerobe
795,anaerobe
796,anaerobe
797,anaerobe
798,anaerobe
799,aerobe
800,aerobe
801,anaerobe
802,aerobe
803,anaerobe
804,aerobe
805,anaerobe
806,anaerobe
807,anaerobe
808,aerobe
809,anaerobe
810,anaerobe
811,anaerobe
812,aerobe
813,aerobe
814,anaerobe
815,aerobe
816,aerobe
817,anaerobe
818,anaerobe
819,anaerobe
820,anaerobe
821,aerobe
822,aerobe
823,aerobe
824,anaerobe
825,anaerobe
826,anaerobe
827,anaerobe
828,aerobe
829,anaerobe
830,anaerobe
831,aerobe
832,aerobe
833,aerobe
834,aerobe
835,aerobe
836,aerobe
837,aerobe
838,anaerobe
839,anaerobe
840,anaerobe
841,anaerobe
842,aerobe
843,anaerobe
844,aerobe
845,aerobe
846,anaerobe
847,anaerobe
848,anaerobe
849,aerobe
850,anaerobe
851,aerobe
852,aerobe
853,anaerobe
854,aerobe
855,aerobe
856,aerobe
857,anaerobe
858,anaerobe
859,aerobe
860,anaerobe
861,anaerobe
862,anaerobe
863,aerobe
864,aerobe
865,aerobe
866,aerobe
867,anaerobe
868,aerobe
869,anaerobe
870,aerobe
871,aerobe
872,anaerobe
873,anaerobe
874,facultative
875,anaerobe
876,anaerobe
877,aerobe
878,anaerobe
879,facultative
880,anaerobe
881,anaerobe
