Refseq accession,annotation_file,embedding_file,NCBI taxonomy,Species,Organism source1,Phylum,Class,Oder,Family,Kingdom,Oxygen requirement,Oxygen requirements assignment source (DB/PMID)2,Number of O2-utilizing enzymes ,Enzymes,physiology
GCF_000007305,/groups/fischergroup/goldford/gtdb/oxygen/jagoda_ref_genomes_annotations/GCF_000007305.1_ASM730v1_protein.ko.tab,/groups/fischergroup/goldford/gtdb/oxygen/jagoda_ref_genomes_embeddings/GCF_000007305.1_ASM730v1_protein_embedding.h5,186497,Pyrococcus furiosus,original tree,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Archaea,Anaerobic,23093671,10,1.1.3.15  1.4.3.16  1.4.3.19  1.14.13.208  4.1.1.39  1.4.3.24  1.1.3.46  1.4.3.2  1.14.13.9  1.15.1.1,Anaerobe
GCF_000019685,/groups/fischergroup/goldford/gtdb/oxygen/jagoda_ref_genomes_annotations/GCF_000019685.1_ASM1968v1_protein.ko.tab,/groups/fischergroup/goldford/gtdb/oxygen/jagoda_ref_genomes_embeddings/GCF_000019685.1_ASM1968v1_protein_embedding.h5,412419,Borrelia duttonii,added,Spirochaetes,Spirochaetia,Spirochaetales,Borreliaceae,Bacteria,Anaerobic,PATRIC,5,1.14.14.51  1.14.14.52  4.1.1.90  1.4.3.24  1.15.1.1,Anaerobe
GCF_000183725,/groups/fischergroup/goldford/gtdb/oxygen/jagoda_ref_genomes_annotations/GCF_000183725.1_ASM18372v1_protein.ko.tab,/groups/fischergroup/goldford/gtdb/oxygen/jagoda_ref_genomes_embeddings/GCF_000183725.1_ASM18372v1_protein_embedding.h5,709032,Sulfuricurvum kujiense,added,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Bacteria,Anaerobic,PATRIC,17,1.14.16.1  1.14.13.127  1.1.5.4  1.13.11.29  1.10.3.14  1.13.11.79  1.14.14.51  1.9.3.1  1.4.3.16  1.4.3.19  1.14.14.52  1.14.13.39  1.13.11.24  1.13.12.3  1.1.3.12  1.14.13.9  1.15.1.1,Anaerobe
GCF_000019705,/groups/fischergroup/goldford/gtdb/oxygen/jagoda_ref_genomes_annotations/GCF_000019705.1_ASM1970v1_protein.ko.tab,/groups/fischergroup/goldford/gtdb/oxygen/jagoda_ref_genomes_embeddings/GCF_000019705.1_ASM1970v1_protein_embedding.h5,412418,Borrelia recurrentis,added,Spirochaetes,Spirochaetia,Spirochaetales,Borreliaceae,Bacteria,Anaerobic,PATRIC,4,1.14.14.51  1.14.14.52  1.4.3.24  1.15.1.1,Anaerobe
GCF_000009805,/groups/fischergroup/goldford/gtdb/oxygen/jagoda_ref_genomes_annotations/GCF_000009805.1_ASM980v1_protein.ko.tab,/groups/fischergroup/goldford/gtdb/oxygen/jagoda_ref_genomes_embeddings/GCF_000009805.1_ASM980v1_protein_embedding.h5,247156,Nocardia farcinica,original tree,Actinobacteria,Actinobacteria,Corynebacteriales,Nocardiaceae,Bacteria,Aerobic,PATRIC,67,1.1.3.6  1.13.11.53  1.14.16.5  1.14.16.1  1.13.11.1  1.13.11.2  1.1.5.4  1.13.11.29  1.13.11.25  1.1.3.15  1.13.11.48  1.14.13.142  1.14.14.1  1.13.11.54  1.14.13.141  1.14.13.59  1.16.3.1  1.14.13.50  1.13.11.79  1.10.2.2  1.11.1.21  1.14.13.29  1.9.3.1  1.14.13.23  1.4.3.16  1.4.3.10  1.4.3.19  1.3.3.14  1.14.13.209  1.14.13.208  1.14.13.149  1.14.13.38  1.4.3.22  1.14.99.49  1.14.14.18  1.14.14.10  1.14.99.50  1.14.14.35  1.14.14.11  1.11.1.6  1.3.3.4  1.4.3.21  1.13.11.27  1.14.14.5  1.14.13.188  1.13.12.16  1.13.11.24  1.14.13.10  1.7.3.3  1.14.13.84  1.1.3.45  1.14.13.92  1.17.3.2  1.13.12.4  1.14.13.237  1.14.13.234  1.14.15.3  1.14.13.70  1.13.11.81  1.4.3.2  1.14.11.55  1.4.3.5  1.14.13.7  1.14.14.17  1.14.14.12  1.14.13.131  1.15.1.1,Aerobe
GCF_000011965,/groups/fischergroup/goldford/gtdb/oxygen/jagoda_ref_genomes_annotations/GCF_000011965.2_ASM1196v2_protein.ko.tab,/groups/fischergroup/goldford/gtdb/oxygen/jagoda_ref_genomes_embeddings/GCF_000011965.2_ASM1196v2_protein_embedding.h5,246200,Ruegeria pomeroyi,original tree,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Bacteria,Aerobic,PATRIC,47,1.14.16.5  1.13.11.4  1.13.11.5  1.13.11.6  1.13.11.2  1.13.11.3  1.5.3.1  1.14.18.1  1.3.3.11  1.13.11.79  1.10.2.2  1.14.14.51  1.11.1.21  1.14.13.24  1.9.3.1  1.4.3.16  1.8.3.4  1.4.3.19  1.14.13.208  1.14.14.52  1.14.13.149  1.14.99.44  1.2.3.1  1.13.11.15  1.4.3.24  1.13.11.11  1.14.15.24  1.14.13.218  1.14.13.81  1.3.3.4  1.3.3.3  1.13.11.27  1.13.12.16  1.13.11.24  1.1.99.18  1.17.3.2  1.14.13.232  1.14.15.3  1.14.11.33  1.4.3.2  1.4.3.5  1.4.3.4  1.14.13.2  1.14.11.1  1.7.2.1  1.15.1.1  1.5.3.19,Aerobe
GCF_000006645,/groups/fischergroup/goldford/gtdb/oxygen/jagoda_ref_genomes_annotations/GCF_000006645.1_ASM664v1_protein.ko.tab,/groups/fischergroup/goldford/gtdb/oxygen/jagoda_ref_genomes_embeddings/GCF_000006645.1_ASM664v1_protein_embedding.h5,187410,Yersinia pestis,original tree,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Bacteria,Facultative,PATRIC,33,1.5.3.1  1.14.12.17  1.13.11.29  1.1.3.15  1.10.3.14  1.10.3.10  1.14.99.29  1.14.13.59  1.16.3.1  1.14.14.51  1.11.1.21  1.9.3.1  1.4.3.16  1.4.3.19  1.14.13.208  1.14.14.52  1.13.11.15  1.14.11.47  1.11.1.6  1.14.11.17  1.3.3.3  1.14.14.5  1.13.11.24  1.14.13.237  1.14.12.7  1.1.3.12  1.4.3.2  1.4.3.5  1.14.14.9  1.14.14.17  1.14.13.8  1.3.99.30  1.15.1.1,Facultative
GCF_000010785,/groups/fischergroup/goldford/gtdb/oxygen/jagoda_ref_genomes_annotations/GCF_000010785.1_ASM1078v1_protein.ko.tab,/groups/fischergroup/goldford/gtdb/oxygen/jagoda_ref_genomes_embeddings/GCF_000010785.1_ASM1078v1_protein_embedding.h5,608538,Hydrogenobacter thermophilus,added,Aquificae,Aquificae,Aquificales,Aquificaceae,Bacteria,Facultative,PATRIC,21,1.13.11.53  1.13.11.54  1.3.3.11  1.14.14.51  1.9.3.1  1.4.3.16  1.4.3.19  1.14.14.52  1.2.3.1  4.1.1.39  1.14.15.21  1.11.1.6  1.14.13.122  1.3.3.4  1.13.11.24  1.14.17.4  1.4.3.2  1.4.3.4  1.14.13.9  1.7.2.1  1.15.1.1,Facultative
GCF_000146165,/groups/fischergroup/goldford/gtdb/oxygen/jagoda_ref_genomes_annotations/GCF_000146165.2_ASM14616v2_protein.ko.tab,/groups/fischergroup/goldford/gtdb/oxygen/jagoda_ref_genomes_embeddings/GCF_000146165.2_ASM14616v2_protein_embedding.h5,211586,Shewanella oneidensis,original tree,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Bacteria,Facultative,20675447,32,1.14.16.5  1.14.16.1  1.5.3.1  1.1.3.15  1.14.14.1  1.10.3.14  1.16.3.1  1.10.2.2  1.14.14.51  1.11.1.21  1.9.3.1  1.4.3.16  1.4.3.19  1.14.13.208  1.14.14.52  1.2.3.1  1.14.11.47  1.14.17.3  1.11.1.6  1.3.3.4  1.3.3.3  1.14.13.221  1.13.11.27  1.13.11.24  1.1.3.48  1.17.3.2  1.14.13.237  1.14.11.33  1.4.3.2  1.4.3.5  1.15.1.1  1.14.19.1,Facultative
GCF_000147355,/groups/fischergroup/goldford/gtdb/oxygen/jagoda_ref_genomes_annotations/GCF_000147355.1_ASM14735v1_protein.ko.tab,/groups/fischergroup/goldford/gtdb/oxygen/jagoda_ref_genomes_embeddings/GCF_000147355.1_ASM14735v1_protein_embedding.h5,563040,Sulfurimonas autotrophica,added,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Bacteria,Anaerobic,21304749,10,1.5.3.1  1.1.3.15  1.14.14.1  1.9.3.1  1.4.3.19  1.13.11.15  1.3.5.6  1.14.12.7  1.14.13.9  1.15.1.1,Anaerobe
