,prediction
3300014208_43,aerobe
3300028561_83,anaerobe
3300007079_3,anaerobe
3300029732_11,anaerobe
3300029424_9,anaerobe
3300021376_32,aerobe
3300025229_7,aerobe
3300001262_7,aerobe
3300007966_8,facultative
3300028398_49,anaerobe
3300020193_41,anaerobe
3300009773_50,anaerobe
3300029000_7,anaerobe
3300025684_33,aerobe
3300029404_27,anaerobe
3300008364_13,facultative
3300027594_10,anaerobe
3300014927_6,anaerobe
3300008278_5,anaerobe
3300026263_19,aerobe
3300014502_33,anaerobe
3300029249_20,anaerobe
3300009540_28,anaerobe
3300013094_42,aerobe
3300006250_9,facultative
3300006259_10,facultative
3300025223_2,anaerobe
3300027835_112,anaerobe
3300021306_37,anaerobe
3300009503_46,anaerobe
3300006320_7,anaerobe
3300025778_1,aerobe
3300029466_9,anaerobe
3300010277_43,anaerobe
3300029033_2,facultative
3300002821_26,anaerobe
3300029706_24,anaerobe
3300006524_11,anaerobe
3300021255_102,anaerobe
3300014326_8,anaerobe
3300029357_8,anaerobe
3300029393_13,anaerobe
3300029297_21,anaerobe
3300011942_1,aerobe
3300026261_18,anaerobe
3300027187_1,aerobe
3300012983_58,anaerobe
3300029821_36,anaerobe
3300011140_3,anaerobe
3300021285_6,anaerobe
3300007320_10,facultative
3300028569_51,anaerobe
3300013133_23,anaerobe
3300003111_3,anaerobe
3300014535_5,anaerobe
3300029538_19,anaerobe
3300006476_3,anaerobe
3300029551_19,anaerobe
3300028985_6,anaerobe
3300006517_6,anaerobe
3300006028_15,aerobe
3300029580_12,anaerobe
3300017418_9,anaerobe
3300020439_15,aerobe
3300025832_13,aerobe
3300006226_89,anaerobe
3300025394_7,aerobe
3300025571_12,aerobe
3300027026_15,aerobe
3300007119_21,anaerobe
3300012824_10,aerobe
3300020139_34,anaerobe
3300029845_26,anaerobe
3300025624_3,aerobe
3300029494_15,anaerobe
3300027900_75,anaerobe
3300028593_15,anaerobe
3300021255_53,anaerobe
3300012936_24,aerobe
3300001990_7,anaerobe
3300029352_10,anaerobe
3300027499_7,aerobe
3300029231_18,anaerobe
3300020477_58,anaerobe
3300014057_18,anaerobe
3300029584_19,anaerobe
3300021419_21,aerobe
3300017467_11,aerobe
3300006746_5,anaerobe
3300007353_16,anaerobe
3300025832_30,anaerobe
3300005256_2,anaerobe
3300029415_11,anaerobe
3300025300_2,aerobe
3300013137_55,anaerobe
3300011013_18,facultative
3300027515_14,anaerobe
3300020197_91,anaerobe
3300027832_142,anaerobe
3300028175_10,facultative
3300026290_9,anaerobe
3300008619_2,anaerobe
3300029011_3,anaerobe
3300029254_29,anaerobe
3300029339_33,anaerobe
3300012128_1,aerobe
3300029495_15,anaerobe
3300028561_61,anaerobe
3300014534_5,anaerobe
3300025632_22,facultative
3300008283_7,anaerobe
3300023225_4,aerobe
3300029119_24,anaerobe
3300020056_50,aerobe
3300020220_99,anaerobe
3300011013_16,anaerobe
3300025699_33,anaerobe
3300012016_18,anaerobe
3300015202_3,aerobe
3300012178_4,aerobe
3300013137_195,anaerobe
3300022661_97,anaerobe
2162886008_14,anaerobe
3300009029_20,aerobe
3300007125_27,anaerobe
3300006502_10,anaerobe
3300029382_26,anaerobe
3300017426_22,aerobe
3300029899_15,aerobe
3300020154_21,anaerobe
3300012330_3,anaerobe
3300008081_27,anaerobe
3300020109_55,aerobe
3300027419_47,anaerobe
3300025961_39,anaerobe
3300029852_12,anaerobe
3300007222_27,anaerobe
2061766007_347,anaerobe
3300029204_17,anaerobe
3300011208_2,aerobe
3300020152_7,aerobe
3300005056_15,anaerobe
3300027784_34,facultative
3300029129_10,anaerobe
3300025118_7,aerobe
3300020253_2,aerobe
3300011867_1,aerobe
3300021318_13,anaerobe
3300027232_5,aerobe
3300009503_130,aerobe
3300029042_10,anaerobe
3300012573_5,anaerobe
3300018878_178,anaerobe
3300011847_3,aerobe
3300026985_4,aerobe
3300008144_43,anaerobe
3300022661_134,anaerobe
3300024257_15,anaerobe
3300011786_2,aerobe
3300029336_13,anaerobe
3300025661_25,anaerobe
3300012527_13,aerobe
3300025613_27,anaerobe
3300014205_105,anaerobe
3300026272_7,aerobe
3300007722_68,anaerobe
3300005689_8,anaerobe
3300025525_18,anaerobe
3300011913_3,aerobe
3300008139_5,anaerobe
3300001683_46,anaerobe
3300020423_58,anaerobe
3300010269_21,anaerobe
3300029815_33,anaerobe
3300025249_7,anaerobe
3300010294_6,anaerobe
3300029507_16,anaerobe
3300013382_8,anaerobe
3300025858_42,anaerobe
3300029106_9,anaerobe
3300027730_28,aerobe
3300023108_25,anaerobe
3300029050_10,anaerobe
3300027782_20,aerobe
3300029420_12,anaerobe
3300025903_10,aerobe
3300029379_37,anaerobe
3300011508_2,anaerobe
3300006322_24,anaerobe
3300029405_13,anaerobe
3300028624_23,anaerobe
3300027970_27,anaerobe
3300025570_5,aerobe
3300013014_45,aerobe
3300005279_12,anaerobe
3300018037_8,anaerobe
3300007305_11,anaerobe
3300008638_26,anaerobe
3300027749_29,anaerobe
3300011881_2,facultative
3300025546_49,anaerobe
3300014516_4,anaerobe
3300014523_2,anaerobe
3300029435_26,anaerobe
3300029743_19,anaerobe
3300027419_26,anaerobe
3300029739_14,anaerobe
3300007796_3,anaerobe
3300020344_25,anaerobe
3300008640_41,anaerobe
3300011232_8,anaerobe
3300013005_106,anaerobe
3300011382_3,anaerobe
3300010375_35,aerobe
3300029872_12,anaerobe
3300029845_16,anaerobe
3300012854_6,aerobe
3300029620_25,anaerobe
3300020372_5,aerobe
